tag	area_code	subtitle_location	drawing	level	project_site
51Q1	51Q1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51R1	51R1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51S1	51S1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51T1	51T1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51U1	51U1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51V1	51V1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51W1	51W1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51X1	51X1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51Y1	51Y1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
51Z1	51Z1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
5211-TB1	5211	BATCH HOUSE +5.135	DE040720A	5.135	CINER GLASS BELGIUM
52A1	52A1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52B1	52B1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52C1	52C1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52D1	52D1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52F1	52F1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52G1	52G1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52H1	52H1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52J1	52J1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52K1	52K1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52L1	52L1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52M1	52M1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52N1	52N1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52P1	52P1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52Q1	52Q1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52R1	52R1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52S1	52S1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52T1	52T1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52U1	52U1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52V1	52V1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52W1	52W1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52X1	52X1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52Y1	52Y1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
52Z1	52Z1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
5311-TB1	5311	BATCH HOUSE +5.135	DE040720A	5.135	CINER GLASS BELGIUM
53A1	53A1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53B1	53B1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53C1	53C1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53D1	53D1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53F1	53F1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53G1	53G1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53H1	53H1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53J1	53J1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53K1	53K1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53L1	53L1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53M1	53M1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53N1	53N1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53P1	53P1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53Q1	53Q1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53R1	53R1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53S1	53S1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53T1	53T1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53U1	53U1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53V1	53V1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53W1	53W1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53X1	53X1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53Y1	53Y1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
53Z1	53Z1	BATCH HOUSE CULLET RETURN	DE040734A	CULLET RETURN	AGC GLASS BELGIUM
6111-JB1	6111	BATCH HOUSE +0.000
6111-M1	6111	BATCH HOUSE +0.000
6111-M2	6111	BATCH HOUSE +0.000
6111-XV1	6111	BATCH HOUSE +0.000
6111-XV2	6111	BATCH HOUSE +0.000
6111-ZS1	6111	BATCH HOUSE +0.000
6121-JB1	6121	BATCH HOUSE +0.000
6121-M1	6121	BATCH HOUSE +0.000
6121-M2	6121	BATCH HOUSE +0.000
6121-XV1	6121	BATCH HOUSE +0.000
6121-ZS1	6121	BATCH HOUSE +0.000
6121-ZS2	6121	BATCH HOUSE +0.000
6221-JB1	6221	BATCH HOUSE +0.000
6221-M1	6221	BATCH HOUSE +0.000
6221-M2	6221	BATCH HOUSE +0.000
6221-XV1	6221	BATCH HOUSE +0.000
6221-ZS1	6221	BATCH HOUSE +0.000
6221-ZS2	6221	BATCH HOUSE +0.000
8161-AH2	8161	BATCH TRANSPORT END +21.341	DE040733A	21.341	CINER GLASS BELGIUM
8162-AH1	8162	BATCH TRANSPORT END +21.341	DE040733A	21.341	CINER GLASS BELGIUM
8162-AH5	8162	BATCH TRANSPORT END +21.341	DE040733A	21.341	CINER GLASS BELGIUM
BA1952-D1	1952	BATCH HOUSE +22.760	DE040724A	22.76	CINER GLASS BELGIUM
BA1952-M1	1952	BATCH HOUSE +22.760	DE040724A	22.76	CINER GLASS BELGIUM
BA4111A-M1	4111	BATCH HOUSE +10.435
BA4111A-M2	4111	BATCH HOUSE +10.435
BA4311-M1	4311	BATCH HOUSE +10.435
BA4331-Q1	4331	BATCH HOUSE +10.435
BE1131-B51	1131	BATCH HOUSE +32.460...+42.125	DE040725A	+32.460...+42.125	CINER GLASS BELGIUM
BE1131-ES1	1131	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
BE1131-ES3	1131	BATCH HOUSE +32.460...+42.125	DE040725A	+32.460...+42.125	CINER GLASS BELGIUM
BE1131-M2	1131	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
BE1131-MS1	1131	BATCH HOUSE +32.460...+42.125	DE040725A	+32.460...+42.125	CINER GLASS BELGIUM
BE1131-Q2	1131	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
BE1231-ES1	1231	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
BE1231-M2	1231	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
BE1231-Q2	1231	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
BE1751A-AS1	1751	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1751A-AS2	1751	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1751A-AS3	1751	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1751A-AS4	1751	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1751A-ES3	1751	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1751A-M1	1751	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1751A-M1	1751	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1751A-M2	1751	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1751A-Q1	1751	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1751A-S51	1751	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1761A-AS1	1761	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1761A-AS2	1761	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1761A-AS3	1761	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1761A-AS4	1761	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1761A-ES3	1761	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1761A-M1	1761	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1761A-M1	1761	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1761A-M2	1761	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1761A-Q1	1761	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1761A-S51	1761	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1811A-M2	1811	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1811A-S51	1811	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1831A-AS1	1831	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1831A-AS2	1831	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1831A-AS3	1831	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1831A-AS4	1831	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1831A-ES3	1831	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1831A-M1	1831	CULLET TOWER +26.300 / +29.000	DE040731A	0.906896552	CINER GLASS BELGIUM
BE1831A-M1	1831	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1831A-M2	1831	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1831A-Q1	1831	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1831A-S51	1831	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
BE1831-ES2	1831	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1831-ES3	1831	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1871A-AS1	1871	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1871A-AS2	1871	CULLET TOWER +0.000	DE040728A	0	CINER GLASS BELGIUM
BE1871A-AS3	1871	CULLET TOWER +26.300	DE040730A	26.3	CNUD
BE1871A-AS4	1871	CULLET TOWER +26.300	DE040730A	26.3	CNUD
BE1871A-BS1	1871	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
BE1871A-ES3	1871	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
